Data Size,Iterative Test 1,Iterative Test 2,Iterative Test 3,Iterative Test 4,Iterative Test 5,平均值
100,7.058,6.059,7.054,3.026,6.064,5.8522
1000,8.074,10.09,10.076,9.09,7.061,8.8782
10000,13.095,13.109,13.116,12.086,13.122,12.9056
100000,16.15,14.14,12.121,15.114,14.112,14.3274
1000000,15.124,12.086,12.135,14.179,15.132,13.7312
,,,,,,
Data Size,Recursive Test 1,Recursive Test 2,Recursive Test 3,Recursive Test 4,Recursive Test 5,平均值
100,7.071,6.063,7.086,3.03,6.045,5.859
1000,8.05,10.105,10.038,9.106,7.071,8.874
10000,13.108,13.086,13.119,12.09,13.138,12.9082
100000,16.161,14.139,12.086,15.151,14.143,14.336
1000000,15.12,12.077,12.107,14.141,15.11,13.711
,,,,,,
,,,,,,
Data Size,非递归,递归,,,,
100,5.8522,5.859,,,,
1000,8.8782,8.874,,,,
10000,12.9056,12.9082,,,,
100000,14.3274,14.336,,,,
1000000,13.7312,13.711,,,,
